level_of_description,collection_id,user_defined_integer_2,container1_type,container1_indicator,component_unique_id,title,date (expression),extent_number,extent_type,extent_container_summary,extent_physical_details,extent_dimensions,lang_materials,script_materials,finding_aid_language,finding_aid_script,scope_content_note,creator_primary_name (Agent_Person; Role_Source???),notes_processing_information
Level of Description,Collection Number (Collection Level),Bib ID (Collection Level only),Box Type,Box Number,Item Number (file no/control no),Title (collection/series/item),Date Range,Extent No,Extent Type,Extent Container Summary,Physical details,Dimensions / Size,Materials Language,Materials Script,Finding Aid Language,Finding Aid Script,Comments,"Creator Name (Surname, First Name) Collection Level Only",Matching_id (system generated)
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
